City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.1927,168.8643,45.97,90,93,2.59,NZ,2021-11-24 17:39:27
1,Kahului,20.8947,-156.47,74.84,78,1,5.75,US,2021-11-24 17:39:28
2,Tasiilaq,65.6145,-37.6368,24.96,91,100,5.06,GL,2021-11-24 17:39:28
3,Atuona,-9.8,-139.0333,77.02,80,62,12.06,PF,2021-11-24 17:39:29
4,Punta Arenas,-53.15,-70.9167,48.11,61,55,12.68,CL,2021-11-24 17:39:29
5,Upernavik,72.7868,-56.1549,29.44,74,100,23.91,GL,2021-11-24 17:39:29
6,Hobart,-42.8794,147.3294,57.02,86,62,0.0,AU,2021-11-24 17:39:30
7,Camargo,27.6667,-105.1667,70.72,28,22,11.83,MX,2021-11-24 17:39:30
8,Teocaltiche,21.4333,-102.5833,67.51,29,14,10.47,MX,2021-11-24 17:39:30
9,Bredasdorp,-34.5322,20.0403,64.27,69,0,15.99,ZA,2021-11-24 17:39:31
10,Pisco,-13.7,-76.2167,70.02,77,0,9.22,PE,2021-11-24 17:39:31
11,San Jeronimo,-11.9472,-75.2829,54.5,74,100,7.05,PE,2021-11-24 17:39:32
12,Bluff,-46.6,168.3333,49.75,88,98,7.9,NZ,2021-11-24 17:39:32
13,Arona,28.0996,-16.681,67.39,74,40,13.8,ES,2021-11-24 17:39:32
14,Rikitea,-23.1203,-134.9692,76.64,75,100,14.54,PF,2021-11-24 17:39:33
15,Scarborough,54.2797,-0.4044,46.51,87,100,1.01,GB,2021-11-24 17:39:33
16,Porto Belo,-27.1578,-48.5531,77.16,65,73,6.62,BR,2021-11-24 17:39:33
17,Pevek,69.7008,170.3133,-23.8,98,87,2.82,RU,2021-11-24 17:39:34
18,Bara,10.3744,10.7288,82.54,22,94,3.69,NG,2021-11-24 17:39:34
19,Aqtobe,50.2797,57.2072,10.49,85,0,11.18,KZ,2021-11-24 17:39:35
20,Busselton,-33.65,115.3333,59.09,76,36,11.52,AU,2021-11-24 17:39:35
21,Shirokiy,49.758,129.523,10.31,97,61,3.8,RU,2021-11-24 17:39:36
22,Hermanus,-34.4187,19.2345,69.91,68,1,19.86,ZA,2021-11-24 17:39:36
23,Pyaozerskiy,65.8333,31.1667,18.57,93,95,4.56,RU,2021-11-24 17:39:36
24,Inta,66.0317,60.1659,11.17,93,100,15.37,RU,2021-11-24 17:39:36
25,Vila Velha,-20.3297,-40.2925,78.94,79,20,7.0,BR,2021-11-24 17:32:49
26,Hilo,19.7297,-155.09,83.28,66,90,9.22,US,2021-11-24 17:38:49
27,Adrar,20.5022,-10.0711,83.16,25,87,4.88,MR,2021-11-24 17:32:56
28,Karratha,-20.7377,116.8463,80.91,56,98,7.25,AU,2021-11-24 17:35:16
29,Jaciara,-15.9653,-54.9683,86.02,65,97,4.0,BR,2021-11-24 17:39:37
30,Redmond,47.674,-122.1215,44.71,92,93,2.89,US,2021-11-24 17:39:38
31,Vila Franca Do Campo,37.7167,-25.4333,67.19,76,92,21.99,PT,2021-11-24 17:39:38
32,Hithadhoo,-0.6,73.0833,82.33,73,100,18.99,MV,2021-11-24 17:39:38
33,Trapani,37.8333,12.6667,62.35,94,20,6.91,IT,2021-11-24 17:39:39
34,Provideniya,64.3833,-173.3,3.11,77,31,5.06,RU,2021-11-24 17:39:39
35,Egvekinot,66.3167,-179.1667,-5.31,75,100,5.61,RU,2021-11-24 17:39:40
36,Fortuna,40.5982,-124.1573,45.99,96,75,6.91,US,2021-11-24 17:39:40
37,Saldanha,-33.0117,17.9442,64.74,68,1,24.52,ZA,2021-11-24 17:39:40
38,Manono,-7.3,27.4167,68.74,93,87,4.99,CD,2021-11-24 17:39:41
39,Bonavista,48.6499,-53.1147,50.0,98,100,22.5,CA,2021-11-24 17:39:41
40,Vaini,-21.2,-175.2,69.96,100,75,0.0,TO,2021-11-24 17:39:42
41,Nueve De Julio,-35.4444,-60.8831,92.71,18,32,11.74,AR,2021-11-24 17:39:42
42,Cape Town,-33.9258,18.4232,73.27,47,0,24.16,ZA,2021-11-24 17:35:55
43,Kijang,35.2442,129.2139,49.73,68,1,9.24,KR,2021-11-24 17:39:43
44,Kavieng,-2.5744,150.7967,82.45,72,67,11.88,PG,2021-11-24 17:32:46
45,Noumea,-22.2763,166.4572,77.0,99,100,5.79,NC,2021-11-24 17:40:43
46,Aykhal,66.0,111.5,-12.32,95,100,7.49,RU,2021-11-24 17:40:44
47,Srednekolymsk,67.45,153.6833,-13.95,99,100,4.79,RU,2021-11-24 17:40:44
48,Flinders,-34.5833,150.8552,69.21,93,100,1.01,AU,2021-11-24 17:40:44
49,Damara,4.9608,18.7035,87.22,42,15,2.39,CF,2021-11-24 17:40:45
50,Mayumba,-3.432,10.6554,76.3,89,96,2.57,GA,2021-11-24 17:40:45
51,Sitka,57.0531,-135.33,42.69,75,90,25.32,US,2021-11-24 17:33:09
52,Lebu,-37.6167,-73.65,61.36,73,87,10.87,CL,2021-11-24 17:40:45
53,Weihe,32.9952,105.3247,38.52,87,0,2.93,CN,2021-11-24 17:40:46
54,Ushuaia,-54.8,-68.3,49.66,53,75,23.02,AR,2021-11-24 17:37:37
55,Nalut,30.3333,10.85,69.33,39,81,7.45,LY,2021-11-24 17:40:46
56,Vestmanna,62.1564,-7.1664,36.52,75,75,36.82,FO,2021-11-24 17:40:47
57,Alice Springs,-23.7,133.8833,60.35,82,0,6.91,AU,2021-11-24 17:36:39
58,Aguililla,18.7333,-102.7333,80.22,43,3,3.67,MX,2021-11-24 17:40:47
59,Zyryanka,65.75,150.85,-11.74,98,100,5.53,RU,2021-11-24 17:40:48
60,Soller,39.7662,2.7152,55.02,77,38,1.01,ES,2021-11-24 17:40:48
61,Castro,-24.7911,-50.0119,84.49,36,76,3.96,BR,2021-11-24 17:40:48
62,Dzhebariki-Khaya,62.2167,135.8,-26.12,100,84,0.38,RU,2021-11-24 17:40:49
63,New Norfolk,-42.7826,147.0587,56.66,62,45,3.0,AU,2021-11-24 17:40:49
64,Romny,50.751,33.4747,29.1,88,59,9.28,UA,2021-11-24 17:40:49
65,Port Lincoln,-34.7333,135.8667,60.17,87,3,18.66,AU,2021-11-24 17:40:50
66,Mayo,38.8876,-76.5119,48.52,41,1,3.0,US,2021-11-24 17:31:26
67,Trat,12.5,102.5,72.97,87,80,6.46,TH,2021-11-24 17:40:50
68,Saint-Augustin,51.226,-58.6502,45.63,97,100,14.61,CA,2021-11-24 17:34:09
69,Waipawa,-41.4122,175.5153,52.43,79,45,4.63,NZ,2021-11-24 17:40:51
70,Port Alfred,-33.5906,26.891,62.49,72,98,10.45,ZA,2021-11-24 17:40:51
71,Avarua,-21.2078,-159.775,75.25,78,90,3.44,CK,2021-11-24 17:40:52
72,Vaijapur,19.9167,74.7333,76.84,59,11,7.92,IN,2021-11-24 17:40:52
73,General Pico,-35.6566,-63.7568,98.22,19,66,16.58,AR,2021-11-24 17:40:52
74,Airai,-8.9266,125.4092,62.35,92,71,0.02,TL,2021-11-24 17:40:53
75,Libenge,3.65,18.6333,78.15,47,4,3.24,CD,2021-11-24 17:40:53
76,Chicama,-7.8447,-79.1469,64.94,59,90,11.54,PE,2021-11-24 17:36:46
77,Tezu,27.9167,96.1667,62.22,65,16,4.0,IN,2021-11-24 17:40:54
78,Severo-Kurilsk,50.6789,156.125,38.01,98,100,16.82,RU,2021-11-24 17:40:54
79,Chokurdakh,70.6333,147.9167,-12.19,98,100,5.7,RU,2021-11-24 17:40:55
80,Norman Wells,65.282,-126.8329,-29.16,68,20,3.44,CA,2021-11-24 17:40:55
81,Sioux Lookout,50.1001,-91.917,19.78,86,90,11.5,CA,2021-11-24 17:35:29
82,Kapaa,22.0752,-159.319,70.12,83,40,5.75,US,2021-11-24 17:40:56
83,Margate,51.3813,1.3862,45.03,84,79,5.03,GB,2021-11-24 17:36:27
84,San Quintin,30.4833,-115.95,64.51,67,98,1.86,MX,2021-11-24 17:39:55
85,Pirovskoye,57.6267,92.2658,17.82,90,100,9.46,RU,2021-11-24 17:34:05
86,Puerto Ayora,-0.7393,-90.3518,80.56,69,81,10.51,EC,2021-11-24 17:40:56
87,Jamestown,42.097,-79.2353,43.72,41,1,5.01,US,2021-11-24 17:38:33
88,Bambous Virieux,-20.3428,57.7575,77.22,83,20,5.75,MU,2021-11-24 17:40:57
89,Albany,42.6001,-73.9662,40.8,49,1,7.27,US,2021-11-24 17:38:31
90,Kamenka,51.3223,42.7678,20.75,63,12,11.39,RU,2021-11-24 17:40:57
91,Inhambane,-23.865,35.3833,75.18,69,40,9.22,MZ,2021-11-24 17:37:58
92,Pemba,-12.974,40.5178,81.3,83,20,11.5,MZ,2021-11-24 17:41:58
93,Cabo San Lucas,22.8909,-109.9124,82.51,56,20,1.99,MX,2021-11-24 17:41:58
94,Sandwick,60.0,-1.25,44.42,70,40,32.21,GB,2021-11-24 17:41:59
95,Saint-Georges,12.0564,-61.7485,85.68,74,75,11.5,GD,2021-11-24 17:32:47
96,Port Blair,11.6667,92.75,81.07,85,99,12.55,IN,2021-11-24 17:38:37
97,Trinidad,-14.8333,-64.9,84.18,79,75,4.61,BO,2021-11-24 17:41:59
98,Isangel,-19.55,169.2667,73.87,88,100,13.4,VU,2021-11-24 17:42:00
99,Marsa Matruh,31.3525,27.2453,66.4,72,20,3.44,EG,2021-11-24 17:42:00
100,Nikolskoye,59.7035,30.7861,34.88,72,92,8.72,RU,2021-11-24 17:42:01
101,Benjamin Constant,-4.3831,-70.0311,84.33,83,75,3.44,BR,2021-11-24 17:42:01
102,Oriximina,-1.7656,-55.8661,94.12,40,88,4.92,BR,2021-11-24 17:42:02
103,Markova,48.6758,24.4138,27.99,84,7,3.51,UA,2021-11-24 17:42:02
104,Souillac,-20.5167,57.5167,77.36,83,20,5.75,MU,2021-11-24 17:42:03
105,Ust-Kuyga,70.0167,135.6,-35.9,100,98,8.77,RU,2021-11-24 17:42:03
106,Saskylakh,71.9167,114.0833,-13.81,93,73,10.92,RU,2021-11-24 17:42:03
107,Fairbanks,64.8378,-147.7164,-10.01,71,1,0.0,US,2021-11-24 17:40:03
108,Rincon,32.296,-81.2354,59.86,28,20,1.01,US,2021-11-24 17:42:04
109,Ilulissat,69.2167,-51.1,30.22,93,75,9.22,GL,2021-11-24 17:42:04
110,Daru,-9.0763,143.2092,79.93,86,96,3.8,PG,2021-11-24 17:42:05
111,Kodiak,57.79,-152.4072,18.91,68,90,18.41,US,2021-11-24 17:32:44
112,Cherskiy,68.75,161.3,-16.29,96,100,3.06,RU,2021-11-24 17:42:05
113,Arlit,18.7369,7.3853,83.43,13,0,6.53,NE,2021-11-24 17:42:06
114,Longyearbyen,78.2186,15.6401,1.24,60,20,13.8,SJ,2021-11-24 17:42:06
115,Chuy,-33.6971,-53.4616,80.8,30,0,9.04,UY,2021-11-24 17:42:06
116,Sao Felix Do Xingu,-6.6447,-51.995,90.41,47,66,1.59,BR,2021-11-24 17:42:07
117,Formby,53.5536,-3.0682,46.89,88,100,16.75,GB,2021-11-24 17:42:07
118,Caravelas,-17.7125,-39.2481,81.18,65,62,8.12,BR,2021-11-24 17:36:47
119,Huilong,31.8111,121.655,53.04,60,4,9.55,CN,2021-11-24 17:42:08
120,Portsmouth,50.799,-1.0913,45.1,89,82,3.91,GB,2021-11-24 17:42:08
121,Narsaq,60.9167,-46.05,32.22,98,100,10.36,GL,2021-11-24 17:42:08
122,Kvarkeno,52.0833,59.725,2.05,94,37,6.15,RU,2021-11-24 17:42:09
123,Constitucion,-35.3333,-72.4167,61.95,71,73,14.03,CL,2021-11-24 17:42:09
124,Marsh Harbour,26.5412,-77.0636,69.71,62,84,19.26,BS,2021-11-24 17:42:09
125,Kavaratti,10.5669,72.642,81.57,81,95,9.1,IN,2021-11-24 17:37:57
126,Shingu,33.7333,135.9833,46.51,76,4,6.6,JP,2021-11-24 17:42:10
127,Marsabit,2.3284,37.9899,76.19,37,22,7.4,KE,2021-11-24 17:42:10
128,Lompoc,34.6391,-120.4579,69.13,58,1,7.0,US,2021-11-24 17:42:10
129,Svetlogorsk,52.6333,29.7333,36.23,79,85,10.47,BY,2021-11-24 17:42:11
130,Ambon,-3.6954,128.1814,81.25,78,73,3.6,ID,2021-11-24 17:42:12
131,Rabat,33.9911,-6.8401,60.21,93,75,6.91,MA,2021-11-24 17:42:12
132,Kununurra,-15.7667,128.7333,84.18,65,40,9.22,AU,2021-11-24 17:42:12
133,Natchez,31.5604,-91.4032,66.25,52,1,13.8,US,2021-11-24 17:42:13
134,Berlevag,70.8578,29.0864,26.55,93,90,12.66,NO,2021-11-24 17:42:13
135,Arman,59.7,150.1667,12.27,76,29,9.57,RU,2021-11-24 17:42:13
136,Anadyr,64.75,177.4833,-14.01,75,0,11.01,RU,2021-11-24 17:43:14
137,Qena,26.1615,32.7183,69.91,27,59,7.29,EG,2021-11-24 17:43:14
138,Vardo,70.3705,31.1107,24.55,86,75,13.8,NO,2021-11-24 17:43:14
139,Manta,-0.95,-80.7333,80.38,74,20,10.36,EC,2021-11-24 17:42:20
140,Bethel,41.3712,-73.414,43.09,42,1,3.0,US,2021-11-24 17:43:15
141,Wladyslawowo,54.7909,18.4009,45.93,85,94,14.03,PL,2021-11-24 17:43:15
142,Agirish,61.9247,63.0231,14.4,88,95,10.63,RU,2021-11-24 17:43:16
143,Saint-Philippe,-21.3585,55.7679,78.39,79,55,10.18,RE,2021-11-24 17:43:16
144,Ewa Beach,21.3156,-158.0072,76.69,82,1,4.61,US,2021-11-24 17:43:16
145,Butaritari,3.0707,172.7902,82.0,67,70,15.82,KI,2021-11-24 17:43:17
146,Mount Gambier,-37.8333,140.7667,55.31,88,90,9.22,AU,2021-11-24 17:43:18
147,Antofagasta,-23.65,-70.4,70.21,52,23,9.4,CL,2021-11-24 17:43:18
148,Guerrero Negro,27.9769,-114.0611,69.3,63,2,8.28,MX,2021-11-24 17:43:18
149,Qaanaaq,77.484,-69.3632,-5.3,55,0,8.9,GL,2021-11-24 17:43:19
150,Kilindoni,-7.9139,39.6668,80.42,80,9,14.63,TZ,2021-11-24 17:43:19
151,Mar Del Plata,-38.0023,-57.5575,91.42,22,0,14.97,AR,2021-11-24 17:42:49
152,Zhangye,38.9342,100.4517,35.46,20,2,6.53,CN,2021-11-24 17:43:19
153,Hasaki,35.7333,140.8333,36.0,41,1,2.84,JP,2021-11-24 17:36:37
154,Qui Nhon,13.7667,109.2333,76.3,84,65,18.63,VN,2021-11-24 17:43:20
155,Saint-Paul,-21.0096,55.2707,78.91,80,9,1.99,RE,2021-11-24 17:43:20
156,Dikson,73.5069,80.5464,8.06,89,99,7.65,RU,2021-11-24 17:43:21
157,Iqaluit,63.7506,-68.5145,24.53,62,75,17.0,CA,2021-11-24 17:43:21
158,Bilma,18.6853,12.9164,81.05,16,21,6.76,NE,2021-11-24 17:43:21
159,Maniitsoq,65.4167,-52.9,31.19,75,98,8.77,GL,2021-11-24 17:36:47
160,Yellowknife,62.456,-114.3525,-9.58,92,20,10.36,CA,2021-11-24 17:43:22
161,Les Escoumins,48.1111,-69.0236,29.55,46,0,8.84,CA,2021-11-24 17:43:22
162,Nantucket,41.2835,-70.0995,43.25,50,1,19.57,US,2021-11-24 17:39:10
163,Sao Joao Da Barra,-21.6403,-41.0511,82.49,66,54,11.86,BR,2021-11-24 17:43:23
164,Kenai,60.5544,-151.2583,22.14,91,90,0.0,US,2021-11-24 17:43:23
165,Tuatapere,-46.1333,167.6833,49.28,78,96,4.16,NZ,2021-11-24 17:43:23
166,Marystown,47.1666,-55.1483,54.86,100,100,11.99,CA,2021-11-24 17:43:24
167,Pacific Grove,36.6177,-121.9166,63.1,49,1,3.0,US,2021-11-24 17:43:16
168,Upata,8.0086,-62.3989,84.04,59,84,5.46,VE,2021-11-24 17:43:24
169,Ribeira Grande,38.5167,-28.7,66.6,77,75,26.46,PT,2021-11-24 17:43:25
170,Imbituba,-28.24,-48.6703,73.29,62,32,11.1,BR,2021-11-24 17:38:50
171,Saint-Joseph,-21.3667,55.6167,77.38,79,61,4.5,RE,2021-11-24 17:43:25
172,Umm Lajj,25.0213,37.2685,78.4,55,4,8.81,SA,2021-11-24 17:43:26
173,San Patricio,28.017,-97.5169,82.49,60,98,20.13,US,2021-11-24 17:43:26
174,Plettenberg Bay,-34.0527,23.3716,60.8,76,73,13.62,ZA,2021-11-24 17:43:26
175,Ifanadiana,-21.3,47.6333,74.86,75,93,4.27,MG,2021-11-24 17:43:27
176,Gallup,35.5281,-108.7426,45.36,81,75,1.01,US,2021-11-24 17:43:27
177,Bachaquero,9.9694,-71.1494,80.76,80,92,3.89,VE,2021-11-24 17:43:12
178,Port Elizabeth,-33.918,25.5701,62.89,77,20,9.22,ZA,2021-11-24 17:43:28
179,Cairns,-16.9167,145.7667,79.07,88,75,1.14,AU,2021-11-24 17:43:28
180,Sweetwater,25.7634,-80.3731,77.02,55,40,5.99,US,2021-11-24 17:42:13
181,Aguilas,37.4063,-1.5829,57.06,47,34,8.01,ES,2021-11-24 17:43:23
182,Nouakchott,18.0858,-15.9785,100.33,32,100,7.92,MR,2021-11-24 17:44:29
183,Staryy Nadym,65.6118,72.6842,0.95,97,97,7.78,RU,2021-11-24 17:44:29
184,Oranjemund,-28.55,16.4333,61.56,86,68,13.85,NA,2021-11-24 17:44:30
185,Mahebourg,-20.4081,57.7,77.25,83,20,5.75,MU,2021-11-24 17:44:30
186,Dunedin,-45.8742,170.5036,52.99,87,100,2.82,NZ,2021-11-24 17:44:30
187,Khatanga,71.9667,102.5,-11.04,95,62,4.54,RU,2021-11-24 17:44:31
188,Grindavik,63.8424,-22.4338,30.67,80,90,3.44,IS,2021-11-24 17:44:31
189,Katsuura,35.1333,140.3,51.91,68,0,9.91,JP,2021-11-24 17:44:32
190,Jeannette,40.3281,-79.6153,46.76,44,1,4.0,US,2021-11-24 17:44:32
191,Victoria,22.2855,114.1577,67.24,77,4,1.01,HK,2021-11-24 17:42:12
192,Sao Filipe,14.8961,-24.4956,79.68,67,19,2.26,CV,2021-11-24 17:44:33
193,Havelock,34.8791,-76.9013,51.06,40,1,3.0,US,2021-11-24 17:40:13
194,Nianzishan,47.5167,122.8833,10.63,70,11,9.08,CN,2021-11-24 17:44:33
195,Coihaique,-45.5752,-72.0662,66.4,51,74,13.13,CL,2021-11-24 17:44:33
196,Hovd,48.0056,91.6419,27.81,53,54,8.86,MN,2021-11-24 17:44:34
197,Klaksvik,62.2266,-6.589,38.32,84,98,48.74,FO,2021-11-24 17:44:34
198,Sobolevo,54.4299,31.8996,33.37,91,96,14.41,RU,2021-11-24 17:44:35
199,Barrow,71.2906,-156.7887,-2.18,78,90,11.5,US,2021-11-24 17:44:35
200,Rocha,-34.4833,-54.3333,85.53,25,0,11.63,UY,2021-11-24 17:44:35
201,Bambanglipuro,-7.95,110.2833,78.55,87,76,3.76,ID,2021-11-24 17:44:36
202,Lavrentiya,65.5833,-171.0,-4.41,91,22,8.32,RU,2021-11-24 17:44:36
203,Terney,45.0503,136.6092,18.68,74,24,7.58,RU,2021-11-24 17:44:37
204,Morant Bay,17.8815,-76.4093,89.22,64,47,10.38,JM,2021-11-24 17:44:37
205,Lata,40.1629,-8.3327,54.01,83,7,5.23,PT,2021-11-24 17:44:38
206,Kesinga,20.2,83.2333,70.09,74,12,1.36,IN,2021-11-24 17:44:38
207,Nabire,-3.3667,135.4833,75.18,92,98,2.37,ID,2021-11-24 17:44:38
208,Arraial Do Cabo,-22.9661,-42.0278,80.56,73,0,12.66,BR,2021-11-24 17:44:39
209,Georgetown,5.4112,100.3354,84.13,90,40,1.01,MY,2021-11-24 17:42:42
210,Ponta Do Sol,32.6667,-17.1,66.83,59,85,10.07,PT,2021-11-24 17:44:39
211,Kisoro,-1.2854,29.685,59.14,92,83,3.04,UG,2021-11-24 17:44:40
212,Namibe,-15.1961,12.1522,71.13,63,2,14.52,AO,2021-11-24 17:44:40
213,Roald,62.5833,6.1333,41.9,93,75,8.05,NO,2021-11-24 17:44:40
214,Yerbogachen,61.2767,108.0108,11.16,95,91,6.24,RU,2021-11-24 17:36:45
215,Yulara,-25.2406,130.9889,60.64,67,0,8.05,AU,2021-11-24 17:44:41
216,Hami,42.8,93.45,26.56,66,13,3.8,CN,2021-11-24 17:44:41
217,Evensk,61.95,159.2333,3.0,85,97,5.75,RU,2021-11-24 17:44:42
218,Cayenne,4.9333,-52.3333,87.84,79,40,5.01,GF,2021-11-24 17:44:42
219,Gravdal,68.1214,13.5031,29.88,63,20,5.75,NO,2021-11-24 17:44:43
220,Walvis Bay,-22.9575,14.5053,62.1,82,90,9.22,NA,2021-11-24 17:44:43
221,Saint Anthony,45.0205,-93.218,49.24,61,1,5.01,US,2021-11-24 17:44:43
222,Tuktoyaktuk,69.4541,-133.0374,-23.8,76,1,4.61,CA,2021-11-24 17:44:44
223,Natal,-5.795,-35.2094,90.25,62,75,16.11,BR,2021-11-24 17:44:44
224,Padang,-0.9492,100.3543,77.05,71,99,3.04,ID,2021-11-24 17:44:44
225,Luba,3.4568,8.5547,82.29,84,79,8.41,GQ,2021-11-24 17:44:45
226,Sheridan,44.8333,-106.9173,31.01,72,90,1.99,US,2021-11-24 17:44:45
227,Roma,43.2128,-75.4557,44.08,63,1,0.0,US,2021-11-24 17:41:38
228,Kholtoson,50.2981,103.3097,9.73,90,31,3.62,RU,2021-11-24 17:45:46
229,Klyuchevskiy,53.5317,119.4519,0.3,88,100,2.48,RU,2021-11-24 17:45:46
230,Grand Gaube,-20.0064,57.6608,77.38,71,7,4.0,MU,2021-11-24 17:45:47
231,Port-Gentil,-0.7193,8.7815,82.36,78,40,13.8,GA,2021-11-24 17:45:47
232,Nanortalik,60.1432,-45.2371,38.55,95,100,15.32,GL,2021-11-24 17:45:48
233,Coquimbo,-29.9533,-71.3436,64.08,62,40,6.91,CL,2021-11-24 17:36:39
234,San Francisco Menendez,13.8431,-90.0158,87.87,34,93,2.19,SV,2021-11-24 17:45:48
235,Tiksi,71.6872,128.8694,-13.02,94,56,5.93,RU,2021-11-24 17:45:49
236,East London,-33.0153,27.9116,61.74,77,40,6.91,ZA,2021-11-24 17:45:49
237,Faanui,-16.4833,-151.75,80.38,73,14,5.26,PF,2021-11-24 17:45:49
238,Vanavara,60.34,102.2797,18.09,93,100,9.55,RU,2021-11-24 17:45:50
239,Stephenville,32.2207,-98.2023,69.89,68,90,10.36,US,2021-11-24 17:42:01
240,Kuala Terengganu,5.3302,103.1408,78.75,94,40,3.44,MY,2021-11-24 17:45:50
241,Ekhabi,53.5102,142.9671,28.8,97,97,2.86,RU,2021-11-24 17:45:51
242,Silifke,36.3778,33.9344,61.39,85,36,4.32,TR,2021-11-24 17:45:51
243,Visaginas,55.6,26.4167,37.8,87,100,9.24,LT,2021-11-24 17:45:51
244,Mana,5.6592,-53.7767,84.74,68,60,8.84,GF,2021-11-24 17:45:52
245,Lebedinyy,58.5167,125.5167,-13.68,89,81,3.49,RU,2021-11-24 17:45:52
246,Saint George,37.1041,-113.5841,57.67,28,1,1.01,US,2021-11-24 17:41:02
247,Karakol,42.4907,78.3936,26.33,52,2,6.24,KG,2021-11-24 17:45:53
248,Leningradskiy,69.3833,178.4167,-14.94,93,100,4.18,RU,2021-11-24 17:45:53
249,Chatra,24.2167,84.8667,53.58,41,0,3.31,IN,2021-11-24 17:45:54
250,Katangli,51.7102,143.2326,33.28,86,92,13.69,RU,2021-11-24 17:45:54
251,Palatka,29.6486,-81.6376,69.12,54,9,8.5,US,2021-11-24 17:45:54
252,Ugoofaaru,5.6667,73.0,78.19,84,100,15.9,MV,2021-11-24 17:45:55
253,Morondava,-20.2833,44.2833,80.53,81,25,9.93,MG,2021-11-24 17:45:55
254,Stornoway,58.2093,-6.3865,42.04,79,40,13.0,GB,2021-11-24 17:45:56
255,Nemuro,43.3236,145.575,38.43,55,43,12.68,JP,2021-11-24 17:45:56
256,Pangnirtung,66.1451,-65.7125,19.4,79,90,5.75,CA,2021-11-24 17:45:56
257,Shirgaon,19.7,72.7,80.62,65,4,8.21,IN,2021-11-24 17:45:57
258,Morbegno,46.1383,9.57,47.98,90,13,3.49,IT,2021-11-24 17:45:57
259,Husavik,66.0449,-17.3389,24.71,79,100,5.32,IS,2021-11-24 17:45:57
260,Gizo,-8.103,156.8419,81.43,77,77,4.68,SB,2021-11-24 17:45:58
261,Umea,63.8284,20.2597,24.73,93,90,3.44,SE,2021-11-24 17:45:58
262,San Rafael,-34.6177,-68.3301,69.4,67,65,28.74,AR,2021-11-24 17:36:40
263,Hambantota,6.1241,81.1185,78.08,85,100,2.64,LK,2021-11-24 17:45:58
264,Crestview,30.7621,-86.5705,63.81,29,1,1.99,US,2021-11-24 17:42:16
265,Ewo,-0.8725,14.8206,74.25,84,97,1.92,CG,2021-11-24 17:45:59
266,Troitsko-Pechorsk,62.7084,56.1964,1.44,97,89,4.99,RU,2021-11-24 17:45:59
267,Aginskoye,51.1,114.53,4.44,94,79,2.35,RU,2021-11-24 17:46:00
268,Ostrovnoy,68.0531,39.5131,27.64,62,93,19.86,RU,2021-11-24 17:46:00
269,Smithers,54.7804,-127.1743,30.52,86,90,6.91,CA,2021-11-24 17:45:06
270,Zhezkazgan,47.8043,67.7144,37.27,78,100,9.91,KZ,2021-11-24 17:46:01
271,Maumere,-8.6199,122.2111,81.1,76,97,3.15,ID,2021-11-24 17:47:02
272,Massakory,12.996,15.7293,86.02,13,4,10.58,TD,2021-11-24 17:47:02
273,Brookings,44.3114,-96.7984,32.34,84,75,23.02,US,2021-11-24 17:46:54
274,Russell,32.3502,-85.1999,61.38,21,1,10.36,US,2021-11-24 17:47:03
275,Leh,34.1667,77.5833,19.96,73,63,0.76,IN,2021-11-24 17:47:03
276,Beruwala,6.4788,79.9828,76.15,93,99,3.98,LK,2021-11-24 17:47:04
277,Casma,-41.0082,-73.1244,73.45,45,81,1.59,CL,2021-11-24 17:47:04
278,Alekseyevka,50.6309,38.6903,25.0,64,30,11.52,RU,2021-11-24 17:47:05
